#,Exome ID Panel
#,Version:,2
#,Date:,"September 25, 2015 at 19:59:35"
#,Plate 1:,".Service Studies","AstraZeneca","20150922_EID_2x96","20150922_AstraZeneca_EID_Asterand_SID_DB","1"
#,Identifier Method:,delimited
#,Identifier Separator:,_
#,Identifier Section Number:,1
#,Identifier Starting Character:,1
#,Identifier Ending Character:,4
#,Identifier Mapping File:,
#,Tumor Method:,ends
#,Tumor Separator:,_
#,Tumor Section Number:,-4
#,Tumor Value:,T
#,Tumor File:,
#,Comparison Type:,local
#
Plate1,Plate2,Plate1 Date,Plate2 Date,Sample1 Name, Sample2 Name, Sample1 Identifier, Sample2 Identifier, Sample1 Well, Sample2 Well,SAMPLE_ID_PANEL_COMPARISON_PK,SAMPLE_ID_PANEL_RESULT_PK1,SAMPLE_ID_PANEL_RESULT_PK2,Score,Homozygous Mismatches,Heterozygous Mismatches,Match Type,Expectation,Date,User,Homozygous Matches,Heterozygous Matches
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-C02,P2-E01,P2-C02,P2-E01,I11,I05,0,0,159,3.1,0,2,match,unexpected,2015-9-25 19:59:35,sampleid,28,7
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P1-H05,P1-F04,P1-H05,P1-F04,D04,C06,1,5,115,0.399999999999999,0,3,match,unexpected,2015-9-25 19:59:35,sampleid,27,11
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-D10,P1-D12,P2-D10,P1-D12,O04,H08,2,14,66,6.3,0,1,match,unexpected,2015-9-25 19:59:35,sampleid,32,9
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-D10,P1-B12,P2-D10,P1-B12,O04,H06,3,14,92,3.6,0,2,match,unexpected,2015-9-25 19:59:35,sampleid,33,8
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-G12,P2-H11,P2-G12,P2-H11,P11,P04,4,16,149,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,22,20
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P1-B03,P1-C07,P1-B03,P1-C07,B06,E03,5,24,165,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,29,10
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-A12,P2-H12,P2-A12,P2-H12,P05,P12,6,25,50,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,25,16
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P1-D05,P1-D03,P1-D05,P1-D03,C12,B08,7,31,55,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,19,17
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-A11,P2-G10,P2-A11,P2-G10,O09,O07,8,34,54,6.8,0,1,match,unexpected,2015-9-25 19:59:35,sampleid,31,8
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-A11,P2-B11,P2-A11,P2-B11,O09,O10,9,34,105,6.8,0,1,match,unexpected,2015-9-25 19:59:35,sampleid,31,8
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-A11,P2-H10,P2-A11,P2-H10,O09,O08,10,34,134,6.8,0,1,match,unexpected,2015-9-25 19:59:35,sampleid,31,8
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-A11,P1-D06,P2-A11,P1-D06,O09,D08,11,34,148,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,32,7
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-E02,P2-F02,P2-E02,P2-F02,J01,J02,12,42,52,6.8,0,1,match,unexpected,2015-9-25 19:59:35,sampleid,23,6
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-C11,P2-D11,P2-C11,P2-D11,O11,O12,13,45,117,6.3,0,1,match,unexpected,2015-9-25 19:59:35,sampleid,21,19
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-C11,P2-E11,P2-C11,P2-E11,O11,P01,14,45,178,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,19,18
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-G10,P2-B11,P2-G10,P2-B11,O07,O10,15,54,105,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,31,9
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-G10,P2-H10,P2-G10,P2-H10,O07,O08,16,54,134,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,31,9
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P2-G10,P1-D06,P2-G10,P1-D06,O07,D08,17,54,148,6.8,0,1,match,unexpected,2015-9-25 19:59:35,sampleid,31,7
20150922_EID_2x96,20150922_EID_2x96,22-SEP-15,22-SEP-15,P1-E10,P1-E08,P1-E10,P1-E08,G05,F01,18,69,99,10,0,0,match,unexpected,2015-9-25 19:59:35,sampleid,24,15
